19. ROUND	 
20 - 8
6 - 11	
14 - 4	
16 - 2	
1 - 15	
5 - 17	
12 - 9	
13 - 7	
18 - 19	
3 - 10	
18. ROUND		
15 - 6	
17 - 1	
2 - 14	
11 - 12	
8 - 3	
19 - 20	
10 - 13	
9 - 16	
7 - 5	
4 - 18	
17. ROUND		
14 - 10	
16 - 19	
5 - 8	
3 - 9	
20 - 15	
12 - 7	
13 - 17	
6 - 4	
18 - 11	
1 - 2	
16. ROUND		
2 - 6	
8 - 12
4 - 13	
15 - 18	
11 - 3	
7 - 16	
19 - 14	
9 - 1	
17 - 20	
10 - 5	
15. ROUND		
14 - 16	
13 - 15	
6 - 17	
8 - 19
5 - 2	
20 - 11	
10 - 9	
12 - 18	
1 - 4	
3 - 7	
14. ROUND		
7 - 8	
3 - 12	
2 - 20	
15 - 4	
11 - 13	
17 - 10	
16 - 1	
19 - 5	
18 - 6	
9 - 14	
13. ROUND		
6 - 7	
4 - 2	
15 - 19	
17 - 9	
18 - 8	
5 - 16	
10 - 12
14 - 11	
1 - 20	
13 - 3	
12. ROUND		
2 - 15	
14 - 1	
8 - 10
16 - 13	
7 - 17	
19 - 6	
20 - 18	
12 - 4	
3 - 5	
9 - 11	
11. ROUND		
11 - 19	
13 - 9	
6 - 20	
4 - 16	
17 - 14	
18 - 2	
5 - 12	
10 - 7	
15 - 8
1 - 3	
10. ROUND		
19 - 13	
14 - 15	
8 - 17
7 - 9	
1 - 10
5 - 11	
3 - 18	
20 - 4	
12 - 2	
16 - 6	
9. ROUND		
2 - 19	
4 - 7	
15 - 12	
11 - 8
17 - 3	
18 - 14	
9 - 5	
13 - 20	
6 - 1	
10 - 16	
8. ROUND		
19 - 9	
14 - 6	
8 - 4
16 - 18	
7 - 11	
5 - 15	
12 - 17	
1 - 13	
3 - 2	
20 - 10	
7. ROUND		
6 - 12	
2 - 7	
4 - 3	
15 - 16	
11 - 17	
18 - 1	
10 - 19	
9 - 8	
20 - 14	
13 - 5	
6. ROUND		
11 - 10
17 - 4	
8 - 6
16 - 20	
7 - 15		
5 - 18	
12 - 13	
9 - 2	
3 - 14	
19 - 1	
5. ROUND		
2 - 17	
4 - 19	
15 - 10	
14 - 12	
18 - 7	
16 - 3	
1 - 11	
20 - 9	
13 - 8
6 - 5	
4. ROUND		
11 - 4	
17 - 19	
8 - 2
7 - 1	
12 - 16	
9 - 18	
13 - 14	
5 - 20	
3 - 15	
10 - 6
3. ROUND		
16 - 8	
18 - 17	
6 - 13	
2 - 10	
4 - 9	
15 - 11	
14 - 5	
20 - 7	
1 - 12	
19 - 3	
2. ROUND		
11 - 2	
17 - 16	
8 - 14	
7 - 19	
10 - 4
12 - 20	
9 - 15	
13 - 18	
5 - 1	
3 - 6	
1. ROUND		
6 - 9	
4 - 5	
15 - 17	
14 - 7	
18 - 10	
16 - 11	
19 - 12	
20 - 3	
2 - 13	
1 - 8	
